地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,資源ごみ（紙類、古着布類、ペットボトル、容プラ）,燃やす粗大ごみ,資源ごみ（空きびん、空き缶、容プラ）,燃えないごみ
松任A,,月 木,金1,金1,金3,金3
松任Ｂ・旭,,火 金,月1,月1,月3,月3
松任Ｃ,,水 土,金1,金1,金3,金3
石川・柏野,,水 土,20180403 20180501 20180605 20180703 20180807 20180904 20181002 20181106 20181204 20190108 20190205 20190305,20180403 20180501 20180605 20180703 20180807 20180904 20181002 20181106 20181204 20190108 20190205 20190305,20180417 20180515 20180619 20180717 20180821 20180918 20181016 20181120 20181218 20190122 20190219 20190319,20180417 20180515 20180619 20180717 20180821 20180918 20181016 20181120 20181218 20190122 20190219 20190319
笠間・宮保・,,水 土,20180412 20180510 20180614 20180712 20180809 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180412 20180510 20180614 20180712 20180809 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180524 20180628 20180726 20180823 20180927 20181025 20181122 20181227 20190131 20190228 20190328,20180426 20180524 20180628 20180726 20180823 20180927 20181025 20181122 20181227 20190131 20190228 20190328
出城・御手洗,,火 金,月2,月2,月4,月4
一木,,水 土,20180405 20180503 20180607 20180705 20180802 20180906 20181004 20181101 20181206 20190110 20190207 20190307,20180405 20180503 20180607 20180705 20180802 20180906 20181004 20181101 20181206 20190110 20190207 20190307,20180419 20180517 20180621 20180719 20180816 20180920 20181018 20181115 20181220 20190124 20190221 20190321,20180419 20180517 20180621 20180719 20180816 20180920 20181018 20181115 20181220 20190124 20190221 20190321
中奥・郷,,月 木,20180404 20180502 20180606 20180704 20180801 20180905 20181003 20181107 20181205 20190109 20190206 20190306,20180404 20180502 20180606 20180704 20180801 20180905 20181003 20181107 20181205 20190109 20190206 20190306,20180418 20180516 20180620 20180718 20180815 20180919 20181017 20181121 20181219 20190123 20190220 20190320,20180418 20180516 20180620 20180718 20180815 20180919 20181017 20181121 20181219 20190123 20190220 20190320
千代野,,火 金,20180405 20180503 20180607 20180705 20180802 20180906 20181004 20181101 20181206 20190110 20190207 20190307,20180405 20180503 20180607 20180705 20180802 20180906 20181004 20181101 20181206 20190110 20190207 20190307,20180419 20180517 20180621 20180719 20180816 20180920 20181018 20181115 20181220 20190124 20190221 20190321,20180419 20180517 20180621 20180719 20180816 20180920 20181018 20181115 20181220 20190124 20190221 20190321
林中・山島,,月 木,金2,金2,金4,金4